abira	great-grandchild
ablah	bastard
ablah	scoundrel
achchiq	bitter
achchiq	hot
achchiqlik	bitterness
achchiqlik	spiciness
achchiq	sour
achchiq	spicy
achchiq	strong
adabli	courteous
adablilik	decency
adablilik	propriety
adabli	polite
adabli	well-mannered
adab	manners
adab	politeness
adabsiz	discourteous
adabsiz	ill-mannered
adabsiz	impolite
adabsizlik	discourtesy
adabsizlik	impoliteness
adab	upbringing
ada	daddy
adolat	justice
adolat	righteousness
adovat	enmity
adovat	hostility
adovatli	hostile
adres	address
aeroport	airport
afgʻon	afghan
afgʻoni	afghan
afgʻoniston	afghanistan
afrika	africa
afrikalik	african
afzallik	superiority
agar	if
agressiv	aggressive
ahamiyat	importance
ahamiyatli	important
ahamiyatli	significant
ahamiyat	significance
ahamiyatsiz	insignificant
ahamiyatsiz	unimportant
ahvol	condition
ahvol	state
ajal	death
ajdod	ancestors
ajdod	forefathers
ajib	marvellous
ajib	wonderful
ajoyib	great
ajoyib	marvellous
ajoyib	wonderful
ajralgan	divorced
ajralish	divorce
ajralish	parting
ajralish	separation
ajralmas	inseparable
ajrat	divide
ajratish	divide
ajratish	split
ajrat	split
aka-uka	brothers
akslik	stubborn
aʼlo	excellent
amaki	uncle
amakivachcha	cousin
amerika	america
amerikalik	american
amma	aunt
ammavachcha	cousin
andijon	andijan
angliya	england
aniq	clear
aniq	obvious
anjir	fig
anor	pomegranate
apelsin	orange
aqsh	usa
arab	arab
arabcha	arabic
arabiston	arabia
arabiy	arabic
araq	brandy
araq	liquor
araq	vodka
araqxoʻr	alcoholic
araqxoʻr	drunkard
araqxoʻrlik	alcoholism
araz	breach
arazlashish	quarrel
arazlash	quarrel
araz	quarrel
ark	citadel
ark	palace
arman	armenian
armaniston	armenia
armiya	army
armiya	forces
arpa	barley
artilleriya	artillery
arxitektor	architect
arxitektura	architecture
arzimagan	worthless
asabiylik	nervousness
asabiy	nervous
asab	nerves
asal	honey
ashxobod	ashkhabad
askariy	army
askariy	military
askar	soldier
aslo	never
asl	origin
asl	original
asosiy	basic
asosiy	fundamental
asosiy	main
asosiy	principal
atir	fragrance
atir	perfume
atir	scent
avlod	descendants
avstraliya	australia
avstraliyalik	australian
avtomat	machine-gun
avtonom	autonomous
avtonomiya	autonomy
axloqiy	moral
